que,copy_que,Acronym,Established,ans,Division,Specialization,Type,Ph.D. granting
ioioioio,ioioioio .,The Acronym of ioioioio is RU .,It's Established on 1953 .,"Sorry, I didn't understand your question .",Also division is Rajshahi division .,This university offers a specialization in General .,ioioioio is a Public University .,Ph.D. granting Yes .
University of Rajshahi,University of Rajshahi .,The Acronym of University of Rajshahi is RU .,It's Established on 1953 .,And its Location is Rajshahi .,Also division is Rajshahi division .,This university offers a specialization in General .,University of Rajshahi is a Public University .,Ph.D. granting Yes .
University of Dhaka,University of Dhaka .,The Acronym of University of Dhaka is DU .,It's Established on 1921 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,University of Dhaka is a Public University .,Ph.D. granting Yes .
University of Chittagong,University of Chittagong .,The Acronym of University of Chittagong is CU .,It's Established on 1966 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in General .,University of Chittagong is a Public University .,Ph.D. granting Yes .
University of Barisal,University of Barisal .,The Acronym of University of Barisal is BU .,It's Established on 2011 .,And its Location is Barisal .,Also division is Barisal division .,This university offers a specialization in General .,University of Barisal is a Public University .,Ph.D. granting Yes .
Sheikh Hasina University,Sheikh Hasina University .,The Acronym of Sheikh Hasina University is SHU .,It's Established on 2018 .,And its Location is Netrokona .,Also division is Mymensingh division .,This university offers a specialization in General .,Sheikh Hasina University is a Public University .,Ph.D. granting Yes .
"Rabindra University, Bangladesh","Rabindra University, Bangladesh .","The Acronym of Rabindra University, Bangladesh is RUB .",It's Established on 2017 .,And its Location is Sirajganj .,Also division is Rajshahi division .,This university offers a specialization in General .,"Rabindra University, Bangladesh is a Public University .",Ph.D. granting Yes .
Khulna University,Khulna University .,The Acronym of Khulna University is KU .,It's Established on 1991 .,And its Location is Khulna .,Also division is Khulna division .,This university offers a specialization in General .,Khulna University is a Public University .,Ph.D. granting Yes .
Jatiya Kabi Kazi Nazrul Islam University,Jatiya Kabi Kazi Nazrul Islam University .,The Acronym of Jatiya Kabi Kazi Nazrul Islam University is JKKNIU .,It's Established on 2006 .,And its Location is Mymensingh .,Also division is Mymensingh division .,This university offers a specialization in General .,Jatiya Kabi Kazi Nazrul Islam University is a Public University .,Ph.D. granting Yes .
Jahangirnagar University,Jahangirnagar University .,The Acronym of Jahangirnagar University is JU .,It's Established on 1970 .,"And its Location is Savar, Dhaka .",Also division is Dhaka division .,This university offers a specialization in General .,Jahangirnagar University is a Public University .,Ph.D. granting Yes .
Jagannath University,Jagannath University .,The Acronym of Jagannath University is JnU .,It's Established on 2005 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,Jagannath University is a Public University .,Ph.D. granting Yes .
"Islamic University, Bangladesh","Islamic University, Bangladesh .","The Acronym of Islamic University, Bangladesh is IU .",It's Established on 1979 .,And its Location is Kushtia .,Also division is Khulna division .,This university offers a specialization in General .,"Islamic University, Bangladesh is a Public University .",Ph.D. granting Yes .
Comilla University,Comilla University .,The Acronym of Comilla University is CoU .,It's Established on 2006 .,And its Location is Comilla .,Also division is Chittagong division .,This university offers a specialization in General .,Comilla University is a Public University .,Ph.D. granting Yes .
Begum Rokeya University,Begum Rokeya University .,The Acronym of Begum Rokeya University is BRU .,It's Established on 2008 .,And its Location is Rangpur .,Also division is Rangpur division .,This university offers a specialization in General .,Begum Rokeya University is a Public University .,Ph.D. granting Yes .
Bangladesh University of Professionals,Bangladesh University of Professionals .,The Acronym of Bangladesh University of Professionals is BUP .,It's Established on 2008 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in General .,Bangladesh University of Professionals is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman University,Bangabandhu Sheikh Mujibur Rahman University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman University is BSMRU .,It's Established on 2020 .,And its Location is Kishoreganj .,Also division is Dhaka division .,This university offers a specialization in General .,Bangabandhu Sheikh Mujibur Rahman University is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujib Medical University,Bangabandhu Sheikh Mujib Medical University .,The Acronym of Bangabandhu Sheikh Mujib Medical University is BSMMU .,It's Established on 1998 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Medical .,Bangabandhu Sheikh Mujib Medical University is a Public University .,Ph.D. granting No .
Chittagong Medical University,Chittagong Medical University .,The Acronym of Chittagong Medical University is CMU .,It's Established on 2017 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in Medical .,Chittagong Medical University is a Public University .,Ph.D. granting No .
Rajshahi Medical University,Rajshahi Medical University .,The Acronym of Rajshahi Medical University is RMU .,It's Established on 2017 .,And its Location is Rajshahi .,Also division is Rajshahi division .,This university offers a specialization in Medical .,Rajshahi Medical University is a Public University .,Ph.D. granting No .
Sylhet Medical University,Sylhet Medical University .,The Acronym of Sylhet Medical University is SMU .,It's Established on 2018 .,And its Location is Sylhet .,Also division is Sylhet division .,This university offers a specialization in Medical .,Sylhet Medical University is a Public University .,Ph.D. granting No .
Sheikh Hasina Medical University,Sheikh Hasina Medical University .,The Acronym of Sheikh Hasina Medical University is SHMU .,It's Established on 2020 .,And its Location is Khulna .,Also division is Khulna division .,This university offers a specialization in Medical .,Sheikh Hasina Medical University is a Public University .,Ph.D. granting No .
Shahjalal University of Science and Technology,Shahjalal University of Science and Technology .,The Acronym of Shahjalal University of Science and Technology is SUST .,It's Established on 1986 .,And its Location is Sylhet .,Also division is Sylhet division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Shahjalal University of Science and Technology is a Public University .,Ph.D. granting Yes .
Hajee Mohammad Danesh Science & Technology University,Hajee Mohammad Danesh Science & Technology University .,The Acronym of Hajee Mohammad Danesh Science & Technology University is HSTU .,It's Established on 1999 .,And its Location is Dinajpur .,Also division is Rangpur division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Hajee Mohammad Danesh Science & Technology University is a Public University .,Ph.D. granting Yes .
Mawlana Bhashani Science and Technology University,Mawlana Bhashani Science and Technology University .,The Acronym of Mawlana Bhashani Science and Technology University is MBSTU .,It's Established on 1999 .,And its Location is Tangail .,Also division is Dhaka division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Mawlana Bhashani Science and Technology University is a Public University .,Ph.D. granting Yes .
Patuakhali Science and Technology University,Patuakhali Science and Technology University .,The Acronym of Patuakhali Science and Technology University is PSTU .,It's Established on 2000 .,And its Location is Patuakhali .,Also division is Barisal division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Patuakhali Science and Technology University is a Public University .,Ph.D. granting Yes .
Noakhali Science and Technology University,Noakhali Science and Technology University .,The Acronym of Noakhali Science and Technology University is NSTU .,It's Established on 2006 .,And its Location is Noakhali .,Also division is Chittagong division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Noakhali Science and Technology University is a Public University .,Ph.D. granting Yes .
Jashore University of Science and Technology,Jashore University of Science and Technology .,The Acronym of Jashore University of Science and Technology is JUST .,It's Established on 2007 .,And its Location is Jessore .,Also division is Khulna division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Jashore University of Science and Technology is a Public University .,Ph.D. granting Yes .
Pabna University of Science and Technology,Pabna University of Science and Technology .,The Acronym of Pabna University of Science and Technology is PUST .,It's Established on 2008 .,And its Location is Pabna .,Also division is Rajshahi division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Pabna University of Science and Technology is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman Science and Technology University,Bangabandhu Sheikh Mujibur Rahman Science and Technology University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman Science and Technology University is BSMRSTU .,It's Established on 2011 .,And its Location is Gopalganj .,Also division is Dhaka division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bangabandhu Sheikh Mujibur Rahman Science and Technology University is a Public University .,Ph.D. granting Yes .
Rangamati Science and Technology University,Rangamati Science and Technology University .,The Acronym of Rangamati Science and Technology University is RMSTU .,It's Established on 2014 .,And its Location is Rangamati .,Also division is Chittagong division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Rangamati Science and Technology University is a Public University .,Ph.D. granting Yes .
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University .,The Acronym of Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University is BSFMSTU .,It's Established on 2017 .,And its Location is Jamalpur .,Also division is Mymensingh division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University is a Public University .,Ph.D. granting Yes .
Chandpur Science and Technology University,Chandpur Science and Technology University .,The Acronym of Chandpur Science and Technology University is CSTU .,It's Established on 2020 .,And its Location is Chandpur .,Also division is Chittagong division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Chandpur Science and Technology University is a Public University .,Ph.D. granting Yes .
Sunamganj Science and Technology University,Sunamganj Science and Technology University .,The Acronym of Sunamganj Science and Technology University is SSTU .,It's Established on 2020 .,And its Location is Sunamganj .,Also division is Sylhet division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Sunamganj Science and Technology University is a Public University .,Ph.D. granting Yes .
Bogura Science and Technology University,Bogura Science and Technology University .,The Acronym of Bogura Science and Technology University is BSTU .,It's Established on 2020 .,And its Location is Bogura .,Also division is Rajshahi division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bogura Science and Technology University is a Public University .,Ph.D. granting Yes .
Lakshmipur Science and Technology University,Lakshmipur Science and Technology University .,The Acronym of Lakshmipur Science and Technology University is LSTU .,It's Established on 2020 .,And its Location is Lakshmipur .,Also division is Chittagong division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Lakshmipur Science and Technology University is a Public University .,Ph.D. granting Yes .
Bangladesh Agricultural University,Bangladesh Agricultural University .,The Acronym of Bangladesh Agricultural University is BAU .,It's Established on 1961 .,And its Location is Mymensingh .,Also division is Mymensingh division .,This university offers a specialization in Agricultural Science  .,Bangladesh Agricultural University is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mujibur Rahman Agricultural University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman Agricultural University is BSMRAU .,It's Established on 1998 .,And its Location is Gazipur .,Also division is Dhaka division .,This university offers a specialization in Agricultural Science  .,Bangabandhu Sheikh Mujibur Rahman Agricultural University is a Public University .,Ph.D. granting Yes .
Sher-E-Bangla Agricultural University,Sher-E-Bangla Agricultural University .,The Acronym of Sher-E-Bangla Agricultural University is SAU .,It's Established on 2001 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Agricultural Science  .,Sher-E-Bangla Agricultural University is a Public University .,Ph.D. granting Yes .
Sylhet Agricultural University,Sylhet Agricultural University .,The Acronym of Sylhet Agricultural University is SylAU .,It's Established on 2006 .,And its Location is Sylhet .,Also division is Sylhet division .,This university offers a specialization in Agricultural Science  .,Sylhet Agricultural University is a Public University .,Ph.D. granting Yes .
Khulna Agricultural University,Khulna Agricultural University .,The Acronym of Khulna Agricultural University is KAU .,It's Established on 2019 .,And its Location is Khulna .,Also division is Khulna division .,This university offers a specialization in Agricultural Science  .,Khulna Agricultural University is a Public University .,Ph.D. granting Yes .
Habiganj Agricultural University,Habiganj Agricultural University .,The Acronym of Habiganj Agricultural University is HAU .,It's Established on 2020 .,And its Location is Habiganj .,Also division is Sylhet division .,This university offers a specialization in Agricultural Science  .,Habiganj Agricultural University is a Public University .,Ph.D. granting Yes .
Kurigram Agricultural University,Kurigram Agricultural University .,The Acronym of Kurigram Agricultural University is KAU .,It's Established on 2021 .,And its Location is Kurigram .,Also division is Rangpur division .,This university offers a specialization in Agricultural Science  .,Kurigram Agricultural University is a Public University .,
Bangladesh University of Engineering & Technology,Bangladesh University of Engineering & Technology .,The Acronym of Bangladesh University of Engineering & Technology is BUET .,It's Established on 1962 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Engineering .,Bangladesh University of Engineering & Technology is a Public University .,Ph.D. granting Yes .
Khulna University of Engineering & Technology,Khulna University of Engineering & Technology .,The Acronym of Khulna University of Engineering & Technology is KUET .,It's Established on 2003 .,And its Location is Khulna .,Also division is Khulna division .,This university offers a specialization in Engineering .,Khulna University of Engineering & Technology is a Public University .,Ph.D. granting Yes .
Chittagong University of Engineering & Technology,Chittagong University of Engineering & Technology .,The Acronym of Chittagong University of Engineering & Technology is CUET .,It's Established on 2003 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in Engineering .,Chittagong University of Engineering & Technology is a Public University .,Ph.D. granting Yes .
Rajshahi University of Engineering & Technology,Rajshahi University of Engineering & Technology .,The Acronym of Rajshahi University of Engineering & Technology is RUET .,It's Established on 2003 .,And its Location is Rajshahi .,Also division is Rajshahi division .,This university offers a specialization in Engineering .,Rajshahi University of Engineering & Technology is a Public University .,Ph.D. granting Yes .
Dhaka University of Engineering & Technology,Dhaka University of Engineering & Technology .,The Acronym of Dhaka University of Engineering & Technology is DUET .,It's Established on 2003 .,And its Location is Gazipur .,Also division is Dhaka division .,This university offers a specialization in Engineering .,Dhaka University of Engineering & Technology is a Public University .,Ph.D. granting Yes .
Mymensingh Engineering College.,Mymensingh Engineering College. .,The Acronym of Mymensingh Engineering College. is MEC .,It's Established on 2009 .,And its Location is Mymensingh .,Also division is Mymensingh division .,This university offers a specialization in Engineering .,Mymensingh Engineering College. is a Public University .,Ph.D. granting No .
Sylhet Engineering College.,Sylhet Engineering College. .,The Acronym of Sylhet Engineering College. is SEC .,It's Established on 2008 .,And its Location is Sylhet .,Also division is Sylhet division .,This university offers a specialization in Engineering .,Sylhet Engineering College. is a Public University .,Ph.D. granting No .
Faridpur Engineering College,Faridpur Engineering College .,The Acronym of Faridpur Engineering College is FEC .,It's Established on 2014 .,And its Location is Faridpur .,Also division is Faridpur division .,This university offers a specialization in Engineering .,Faridpur Engineering College is a Public University .,Ph.D. granting No .
Barisal Engineering College.,Barisal Engineering College. .,The Acronym of Barisal Engineering College. is BEC .,It's Established on 2018 .,And its Location is Barisal .,Also division is Barisal division .,This university offers a specialization in Engineering .,Barisal Engineering College. is a Public University .,Ph.D. granting No .
Chittagong Veterinary and Animal Sciences University,Chittagong Veterinary and Animal Sciences University .,The Acronym of Chittagong Veterinary and Animal Sciences University is CVASU .,It's Established on 2006 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in Veterinary Science .,Chittagong Veterinary and Animal Sciences University is a Public University .,Ph.D. granting Yes .
Bangladesh University of Textiles,Bangladesh University of Textiles .,The Acronym of Bangladesh University of Textiles is BUTEX .,It's Established on 2010 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Textile Engineering .,Bangladesh University of Textiles is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman Maritime University,Bangabandhu Sheikh Mujibur Rahman Maritime University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman Maritime University is BSMRMU .,It's Established on 2013 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in Maritime transport .,Bangabandhu Sheikh Mujibur Rahman Maritime University is a Public University .,Ph.D. granting Yes .
Bangabandhu Sheikh Mujibur Rahman Digital University,Bangabandhu Sheikh Mujibur Rahman Digital University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman Digital University is BDU .,It's Established on 2018 .,And its Location is Kaliakoir .,Also division is Dhaka division .,This university offers a specialization in ICT in education .,Bangabandhu Sheikh Mujibur Rahman Digital University is a Public University .,Ph.D. granting No .
Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University,Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University .,The Acronym of Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University is BSMRAAU .,It's Established on 2019 .,And its Location is Lalmonirhat .,Also division is Rangpur division .,This university offers a specialization in Aeronautical Science .,Bangabandhu Sheikh Mujibur Rahman Aviation and Aerospace University is a Public University .,Ph.D. granting Yes .
Bangladesh Open University,Bangladesh Open University .,The Acronym of Bangladesh Open University is BOU .,It's Established on 1992 .,And its Location is Gazipur .,Also division is Gazipur Division .,This university offers a specialization in General .,Bangladesh Open University is a Public University .,Ph.D. granting Yes .
National University Bangladesh,National University Bangladesh .,The Acronym of National University Bangladesh is NU .,It's Established on 1992 .,And its Location is Gazipur .,Also division is Gazipur Division .,This university offers a specialization in General .,National University Bangladesh is a Public University .,Ph.D. granting Yes .
Islamic Arabic University,Islamic Arabic University .,The Acronym of Islamic Arabic University is IAU .,It's Established on 2013 .,And its Location is Dhaka .,Also division is Dhaka division .,This university offers a specialization in Islamic .,Islamic Arabic University is a Private University .,Ph.D. granting No .
International University of Business Agriculture and Technology,International University of Business Agriculture and Technology .,The Acronym of International University of Business Agriculture and Technology is IUBAT .,It's Established on 1991 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,International University of Business Agriculture and Technology is a Private University .,Ph.D. granting No .
North South University,North South University .,The Acronym of North South University is NSU .,It's Established on 1992 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,North South University is a Private University .,Ph.D. granting No .
"Independent University, Bangladesh","Independent University, Bangladesh .","The Acronym of Independent University, Bangladesh is IUB .",It's Established on 1993 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,"Independent University, Bangladesh is a Private University .",Ph.D. granting No .
American International University-Bangladesh,American International University-Bangladesh .,The Acronym of American International University-Bangladesh is AIUB .,It's Established on 1994 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,American International University-Bangladesh is a Private University .,Ph.D. granting No .
Dhaka International University,Dhaka International University .,The Acronym of Dhaka International University is DIU .,It's Established on 1995 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Dhaka International University is a Private University .,Ph.D. granting No .
"International Islamic University, Chittagong","International Islamic University, Chittagong .","The Acronym of International Islamic University, Chittagong is IIUC .",It's Established on 1995 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,"International Islamic University, Chittagong is a Private University .",Ph.D. granting No .
Asian University for Women,Asian University for Women .,The Acronym of Asian University for Women is AUB .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Asian University for Women is a Private University .,Ph.D. granting No .
East West University,East West University .,The Acronym of East West University is EWU .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,East West University is a Private University .,Ph.D. granting No .
Gono Bishwabidyalay,Gono Bishwabidyalay .,The Acronym of Gono Bishwabidyalay is GB .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Gono Bishwabidyalay is a Private University .,Ph.D. granting No .
People's University of Bangladesh,People's University of Bangladesh .,The Acronym of People's University of Bangladesh is PUB .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,People's University of Bangladesh is a Private University .,Ph.D. granting No .
Queens University,Queens University .,The Acronym of Queens University is QU .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Queens University is a Private University .,Ph.D. granting No .
University of Asia Pacific (Bangladesh),University of Asia Pacific (Bangladesh) .,The Acronym of University of Asia Pacific (Bangladesh) is UAP .,It's Established on 1996 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,University of Asia Pacific (Bangladesh) is a Private University .,Ph.D. granting No .
Chittagong Independent University (CIU),Chittagong Independent University (CIU) .,The Acronym of Chittagong Independent University (CIU) is CIU .,It's Established on 1999 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,Chittagong Independent University (CIU) is a Private University .,Ph.D. granting No .
BGMEA University of Fashion & Technology,BGMEA University of Fashion & Technology .,The Acronym of BGMEA University of Fashion & Technology is BUFT .,It's Established on 1999 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,BGMEA University of Fashion & Technology is a Private University .,Ph.D. granting No .
Bangladesh University,Bangladesh University .,The Acronym of Bangladesh University is BU .,It's Established on 2001 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Bangladesh University is a Private University .,Ph.D. granting No .
BGC Trust University Bangladesh,BGC Trust University Bangladesh .,The Acronym of BGC Trust University Bangladesh is BGCTUB .,It's Established on 2001 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,BGC Trust University Bangladesh is a Private University .,Ph.D. granting No .
BRAC University,BRAC University .,The Acronym of BRAC University is BRAC .,It's Established on 2001 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,BRAC University is a Private University .,Ph.D. granting No .
Manarat International University,Manarat International University .,The Acronym of Manarat International University is MIU .,It's Established on 2001 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Manarat International University is a Private University .,Ph.D. granting No .
"Premier University, Chittagong","Premier University, Chittagong .","The Acronym of Premier University, Chittagong is PU .",It's Established on 2001 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,"Premier University, Chittagong is a Private University .",Ph.D. granting No .
"Southern University, Bangladesh","Southern University, Bangladesh .","The Acronym of Southern University, Bangladesh is SUB .",It's Established on 2001 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,"Southern University, Bangladesh is a Private University .",Ph.D. granting No .
