que,copy_que,Acronym,Established,ans,Division,Specialization,Type,Ph.D. granting
Sylhet International University,Sylhet International University .,The Acronym of Sylhet International University is SIU .,It's Established on 2001 .,And its Location is Sylhet .,Also division is Sylhet Division .,This university offers a specialization in General .,Sylhet International University is a Private University .,Ph.D. granting No .
University of Development Alternative,University of Development Alternative .,The Acronym of University of Development Alternative is UODA .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,University of Development Alternative is a Private University .,Ph.D. granting No .
"City University, Bangladesh","City University, Bangladesh .","The Acronym of City University, Bangladesh is CUB .",It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,"City University, Bangladesh is a Private University .",Ph.D. granting No .
Daffodil International University,Daffodil International University .,The Acronym of Daffodil International University is DIU .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Daffodil International University is a Private University .,Ph.D. granting No .
Green University of Bangladesh,Green University of Bangladesh .,The Acronym of Green University of Bangladesh is GUB .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Green University of Bangladesh is a Private University .,Ph.D. granting No .
IBAIS University,IBAIS University .,The Acronym of IBAIS University is IU .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,IBAIS University is a Private University .,Ph.D. granting No .
Leading University,Leading University .,The Acronym of Leading University is LU .,It's Established on 2002 .,And its Location is Sylhet .,Also division is Sylhet Division .,This university offers a specialization in General .,Leading University is a Private University .,Ph.D. granting No .
Northern University of Bangladesh,Northern University of Bangladesh .,The Acronym of Northern University of Bangladesh is NUB .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Northern University of Bangladesh is a Private University .,Ph.D. granting No .
Prime University,Prime University .,The Acronym of Prime University is PU .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Prime University is a Private University .,Ph.D. granting No .
Southeast University,Southeast University .,The Acronym of Southeast University is SEU .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Southeast University is a Private University .,Ph.D. granting No .
Stamford University Bangladesh,Stamford University Bangladesh .,The Acronym of Stamford University Bangladesh is SU .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Stamford University Bangladesh is a Private University .,Ph.D. granting No .
State University of Bangladesh,State University of Bangladesh .,The Acronym of State University of Bangladesh is SUB .,It's Established on 2002 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,State University of Bangladesh is a Private University .,Ph.D. granting No .
"Eastern University, Bangladesh","Eastern University, Bangladesh .","The Acronym of Eastern University, Bangladesh is EU .",It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,"Eastern University, Bangladesh is a Private University .",Ph.D. granting No .
Metropolitan University,Metropolitan University .,The Acronym of Metropolitan University is MU .,It's Established on 2003 .,And its Location is Sylhet .,Also division is Sylhet Division .,This university offers a specialization in General .,Metropolitan University is a Private University .,Ph.D. granting No .
Millennium University,Millennium University .,The Acronym of Millennium University is MU .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Millennium University is a Private University .,Ph.D. granting No .
Primeasia University,Primeasia University .,The Acronym of Primeasia University is PAU .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Primeasia University is a Private University .,Ph.D. granting No .
Royal University of Dhaka,Royal University of Dhaka .,The Acronym of Royal University of Dhaka is RUD .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Royal University of Dhaka is a Private University .,Ph.D. granting No .
United International University,United International University .,The Acronym of United International University is UIU .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,United International University is a Private University .,Ph.D. granting No .
University of Information Technology and Sciences,University of Information Technology and Sciences .,The Acronym of University of Information Technology and Sciences is UITS .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,University of Information Technology and Sciences is a Private University .,Ph.D. granting No .
"University of South Asia, Bangladesh","University of South Asia, Bangladesh .","The Acronym of University of South Asia, Bangladesh is USAB .",It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,"University of South Asia, Bangladesh is a Private University .",Ph.D. granting No .
Uttara University,Uttara University .,The Acronym of Uttara University is UU .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Uttara University is a Private University .,Ph.D. granting No .
Victoria University of Bangladesh,Victoria University of Bangladesh .,The Acronym of Victoria University of Bangladesh is VUB .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Victoria University of Bangladesh is a Private University .,Ph.D. granting No .
World University of Bangladesh,World University of Bangladesh .,The Acronym of World University of Bangladesh is WUB .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,World University of Bangladesh is a Private University .,Ph.D. granting No .
Asa University Bangladesh,Asa University Bangladesh .,The Acronym of Asa University Bangladesh is ASAUB .,It's Established on 2006 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Asa University Bangladesh is a Private University .,Ph.D. granting No .
Bangladesh Islami University,Bangladesh Islami University .,The Acronym of Bangladesh Islami University is BIU .,It's Established on 2006 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Bangladesh Islami University is a Private University .,Ph.D. granting No .
East Delta University,East Delta University .,The Acronym of East Delta University is EDU .,It's Established on 2006 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,East Delta University is a Private University .,Ph.D. granting No .
Northern University of Business and Technology Khulna,Northern University of Business and Technology Khulna .,The Acronym of Northern University of Business and Technology Khulna is NUB .,It's Established on 2010 .,And its Location is Khulna .,Also division is Khulna Division .,This university offers a specialization in General .,Northern University of Business and Technology Khulna is a Private University .,Ph.D. granting No .
Britannia University,Britannia University .,The Acronym of Britannia University is BU .,It's Established on 2010 .,And its Location is Comilla .,Also division is Chittagong Division .,This university offers a specialization in General .,Britannia University is a Private University .,Ph.D. granting No .
Feni University,Feni University .,The Acronym of Feni University is FU .,It's Established on 2010 .,And its Location is Feni .,Also division is Chittagong Division .,This university offers a specialization in General .,Feni University is a Private University .,Ph.D. granting No .
Khwaja Yunus Ali University,Khwaja Yunus Ali University .,The Acronym of Khwaja Yunus Ali University is KYAU .,It's Established on 2010 .,And its Location is Sirajgonj .,Also division is Rajshahi Division .,This university offers a specialization in General .,Khwaja Yunus Ali University is a Private University .,Ph.D. granting No .
European University of Bangladesh,European University of Bangladesh .,The Acronym of European University of Bangladesh is EUB .,It's Established on 2012 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,European University of Bangladesh is a Private University .,Ph.D. granting No .
First Capital University Of Bangladesh,First Capital University Of Bangladesh .,The Acronym of First Capital University Of Bangladesh is FCUB .,It's Established on 2012 .,And its Location is Chuadanga .,Also division is Khulna Division .,This university offers a specialization in General .,First Capital University Of Bangladesh is a Private University .,Ph.D. granting No .
Hamdard University Bangladesh,Hamdard University Bangladesh .,The Acronym of Hamdard University Bangladesh is HUB .,It's Established on 2012 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Hamdard University Bangladesh is a Private University .,Ph.D. granting No .
Ishakha International University,Ishakha International University .,The Acronym of Ishakha International University is IIUB .,It's Established on 2012 .,And its Location is Kishoreganj .,Also division is Dhaka Division .,This university offers a specialization in General .,Ishakha International University is a Private University .,Ph.D. granting No .
North East University Bangladesh,North East University Bangladesh .,The Acronym of North East University Bangladesh is NEUB .,It's Established on 2012 .,And its Location is Sylhet .,Also division is Sylhet Division .,This university offers a specialization in General .,North East University Bangladesh is a Private University .,Ph.D. granting No .
"North Western University, Bangladesh","North Western University, Bangladesh .","The Acronym of North Western University, Bangladesh is NWU .",It's Established on 2012 .,And its Location is Khulna .,Also division is Khulna Division .,This university offers a specialization in General .,"North Western University, Bangladesh is a Private University .",Ph.D. granting No .
Port City International University,Port City International University .,The Acronym of Port City International University is PCIU .,It's Established on 2012 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,Port City International University is a Private University .,Ph.D. granting No .
Varendra University,Varendra University .,The Acronym of Varendra University is VU .,It's Established on 2012 .,And its Location is Rajshahi .,Also division is Rajshahi Division .,This university offers a specialization in General .,Varendra University is a Private University .,Ph.D. granting No .
Sonargaon University,Sonargaon University .,The Acronym of Sonargaon University is SU .,It's Established on 2012 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Sonargaon University is a Private University .,Ph.D. granting No .
Cox's Bazar International University,Cox's Bazar International University .,The Acronym of Cox's Bazar International University is CBIU .,It's Established on 2013 .,And its Location is Cox's Bazar .,Also division is Chittagong Division .,This university offers a specialization in General .,Cox's Bazar International University is a Private University .,Ph.D. granting No .
Fareast International University,Fareast International University .,The Acronym of Fareast International University is FIU .,It's Established on 2013 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Fareast International University is a Private University .,Ph.D. granting No .
German University Bangladesh,German University Bangladesh .,The Acronym of German University Bangladesh is GUB .,It's Established on 2013 .,And its Location is Gazipur .,Also division is Dhaka Division .,This university offers a specialization in General .,German University Bangladesh is a Private University .,Ph.D. granting No .
North Bengal International University,North Bengal International University .,The Acronym of North Bengal International University is NBIU .,It's Established on 2013 .,And its Location is Rajshahi .,Also division is Rajshahi Division .,This university offers a specialization in General .,North Bengal International University is a Private University .,Ph.D. granting No .
Notre Dame University Bangladesh,Notre Dame University Bangladesh .,The Acronym of Notre Dame University Bangladesh is NDUB .,It's Established on 2013 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Notre Dame University Bangladesh is a Private University .,Ph.D. granting No .
Ranada Prasad Shaha University,Ranada Prasad Shaha University .,The Acronym of Ranada Prasad Shaha University is RPSU .,It's Established on 2013 .,And its Location is Narayanganj .,Also division is Dhaka Division .,This university offers a specialization in General .,Ranada Prasad Shaha University is a Private University .,Ph.D. granting No .
Sheikh Fazilatunnesa Mujib University,Sheikh Fazilatunnesa Mujib University .,The Acronym of Sheikh Fazilatunnesa Mujib University is SFMMU .,It's Established on 2013 .,And its Location is Jamalpur .,Also division is Mymensingh Division .,This university offers a specialization in General .,Sheikh Fazilatunnesa Mujib University is a Private University .,Ph.D. granting No .
Times University Bangladesh,Times University Bangladesh .,The Acronym of Times University Bangladesh is TMUB .,It's Established on 2013 .,And its Location is Faridpur .,Also division is Dhaka Division .,This university offers a specialization in General .,Times University Bangladesh is a Private University .,Ph.D. granting No .
Canadian University of Bangladesh,Canadian University of Bangladesh .,The Acronym of Canadian University of Bangladesh is CUST .,It's Established on 2015 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Canadian University of Bangladesh is a Private University .,Ph.D. granting No .
Global University Bangladesh,Global University Bangladesh .,The Acronym of Global University Bangladesh is GUB .,It's Established on 2015 .,And its Location is Barisal .,Also division is Barisal Division .,This university offers a specialization in General .,Global University Bangladesh is a Private University .,Ph.D. granting No .
NPI University of Bangladesh,NPI University of Bangladesh .,The Acronym of NPI University of Bangladesh is NPIUB .,It's Established on 2015 .,And its Location is Manikganj .,Also division is Dhaka Division .,This university offers a specialization in General .,NPI University of Bangladesh is a Private University .,Ph.D. granting No .
Rabindra Maitree University,Rabindra Maitree University .,The Acronym of Rabindra Maitree University is RMU .,It's Established on 2015 .,And its Location is Kushtia .,Also division is Khulna Division .,This university offers a specialization in General .,Rabindra Maitree University is a Private University .,Ph.D. granting No .
The International University of Scholars,The International University of Scholars .,The Acronym of The International University of Scholars is IUS .,It's Established on 2015 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,The International University of Scholars is a Private University .,Ph.D. granting No .
University of Creative Technology Chittagong,University of Creative Technology Chittagong .,The Acronym of University of Creative Technology Chittagong is UCTC .,It's Established on 2015 .,And its Location is Chittagong .,Also division is Chittagong Division .,This university offers a specialization in General .,University of Creative Technology Chittagong is a Private University .,Ph.D. granting No .
Anwer Khan Modern University,Anwer Khan Modern University .,The Acronym of Anwer Khan Modern University is AKMU .,It's Established on 2016 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,Anwer Khan Modern University is a Private University .,Ph.D. granting No .
University of Global Village,University of Global Village .,The Acronym of University of Global Village is UIGV .,It's Established on 2016 .,And its Location is Barisal .,Also division is Barisal Division .,This university offers a specialization in General .,University of Global Village is a Private University .,Ph.D. granting No .
"Trust University, Barishal","Trust University, Barishal .","The Acronym of Trust University, Barishal is TU .",It's Established on 2018 .,And its Location is Barisal .,Also division is Barisal Division .,This university offers a specialization in General .,"Trust University, Barishal is a Private University .",Ph.D. granting No .
University of Brahmanbaria,University of Brahmanbaria .,The Acronym of University of Brahmanbaria is UOB .,It's Established on 2018 .,And its Location is Brahamanbaria .,Also division is Comilla Division .,This university offers a specialization in General .,University of Brahmanbaria is a Private University .,Ph.D. granting No .
University of Skill Enrichment and Technology,University of Skill Enrichment and Technology .,The Acronym of University of Skill Enrichment and Technology is USET .,It's Established on 2018 .,And its Location is Narayanganj .,Also division is Dhaka Division .,This university offers a specialization in General .,University of Skill Enrichment and Technology is a Private University .,Ph.D. granting No .
International Standard University,International Standard University .,The Acronym of International Standard University is ISU .,It's Established on 2018 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,International Standard University is a Private University .,Ph.D. granting No .
ZNRF University of Management Sciences,ZNRF University of Management Sciences .,The Acronym of ZNRF University of Management Sciences is ZUMS .,It's Established on 2018 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in General .,ZNRF University of Management Sciences is a Private University .,Ph.D. granting No .
Bandarban University,Bandarban University .,The Acronym of Bandarban University is BU .,It's Established on 2019 .,And its Location is Bandarban .,Also division is Chittagong Division .,This university offers a specialization in General .,Bandarban University is a Private University .,Ph.D. granting No .
RTM Al-Kabir Technical University,RTM Al-Kabir Technical University .,The Acronym of RTM Al-Kabir Technical University is RTM-AKTU .,It's Established on 2020 .,And its Location is Sylhet .,Also division is Sylhet Division .,This university offers a specialization in General .,RTM Al-Kabir Technical University is a Private University .,Ph.D. granting No .
University of Science & Technology Chittagong,University of Science & Technology Chittagong .,The Acronym of University of Science & Technology Chittagong is USTC .,It's Established on 1992 .,And its Location is Chittagong .,Also division is Chittagong Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",University of Science & Technology Chittagong is a Private University .,Ph.D. granting No .
Ahsanullah University of Science and Technology,Ahsanullah University of Science and Technology .,The Acronym of Ahsanullah University of Science and Technology is AUST .,It's Established on 1995 .,And its Location is Dhaka .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Ahsanullah University of Science and Technology is a Private University .,Ph.D. granting No .
Pundra University of Science and Technology,Pundra University of Science and Technology .,The Acronym of Pundra University of Science and Technology is PUST .,It's Established on 2001 .,And its Location is Bogra .,Also division is Rajshahi Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Pundra University of Science and Technology is a Private University .,Ph.D. granting No .
Bangladesh University of Business and Technology,Bangladesh University of Business and Technology .,The Acronym of Bangladesh University of Business and Technology is BUBT .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bangladesh University of Business and Technology is a Private University .,Ph.D. granting No .
Presidency University,Presidency University .,The Acronym of Presidency University is PU .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Presidency University is a Private University .,Ph.D. granting No .
Atish Dipankar University of Science and Technology,Atish Dipankar University of Science and Technology .,The Acronym of Atish Dipankar University of Science and Technology is ADUST .,It's Established on 2004 .,And its Location is Dhaka .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Atish Dipankar University of Science and Technology is a Private University .,Ph.D. granting No .
ZH Sikder University of Science & Technology,ZH Sikder University of Science & Technology .,The Acronym of ZH Sikder University of Science & Technology is ZHSUST .,It's Established on 2012 .,And its Location is Shariatpur .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",ZH Sikder University of Science & Technology is a Private University .,Ph.D. granting No .
Rajshahi Science & Technology University,Rajshahi Science & Technology University .,The Acronym of Rajshahi Science & Technology University is RSTU .,It's Established on 2013 .,And its Location is Natore .,Also division is Rajshahi Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Rajshahi Science & Technology University is a Private University .,Ph.D. granting No .
Bangladesh Army International University of Science & Technology,Bangladesh Army International University of Science & Technology .,The Acronym of Bangladesh Army International University of Science & Technology is BAIUST .,It's Established on 2015 .,And its Location is Comilla .,Also division is Chittagong Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bangladesh Army International University of Science & Technology is a Private University .,Ph.D. granting No .
Bangladesh Army University of Science and Technology,Bangladesh Army University of Science and Technology .,The Acronym of Bangladesh Army University of Science and Technology is BAUST .,It's Established on 2015 .,And its Location is Saidpur .,Also division is Rangpur Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Bangladesh Army University of Science and Technology is a Private University .,Ph.D. granting No .
CCN University of Science & Technology,CCN University of Science & Technology .,The Acronym of CCN University of Science & Technology is CCNUST .,It's Established on 2015 .,And its Location is Comilla .,Also division is Chittagong Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",CCN University of Science & Technology is a Private University .,Ph.D. granting No .
Central University of Science and Technology,Central University of Science and Technology .,The Acronym of Central University of Science and Technology is CUST .,It's Established on 2016 .,And its Location is Dhaka .,Also division is Dhaka Division .,"This university offers a specialization in Science , Technology,Engineering and Mathematics  .",Central University of Science and Technology is a Private University .,Ph.D. granting No .
Central Women's University,Central Women's University .,The Acronym of Central Women's University is CWU .,It's Established on 1993 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in Women's studies .,Central Women's University is a Private University .,Ph.D. granting No .
Shanto-Mariam University of Creative Technology,Shanto-Mariam University of Creative Technology .,The Acronym of Shanto-Mariam University of Creative Technology is SMUCT .,It's Established on 2003 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in Creative technology .,Shanto-Mariam University of Creative Technology is a Private University .,Ph.D. granting No .
University of Liberal Arts Bangladesh,University of Liberal Arts Bangladesh .,The Acronym of University of Liberal Arts Bangladesh is ULAB .,It's Established on 2004 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in Media studies and journalism .,University of Liberal Arts Bangladesh is a Private University .,Ph.D. granting No .
Bangladesh University of Health Sciences,Bangladesh University of Health Sciences .,The Acronym of Bangladesh University of Health Sciences is BUHS .,It's Established on 2012 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in Health Sciences .,Bangladesh University of Health Sciences is a Private University .,Ph.D. granting No .
Exim Bank Agricultural University Bangladesh,Exim Bank Agricultural University Bangladesh .,The Acronym of Exim Bank Agricultural University Bangladesh is EBAUB .,It's Established on 2013 .,And its Location is Chapainawabganj .,Also division is Rajshahi Division .,This university offers a specialization in Agricultural Science .,Exim Bank Agricultural University Bangladesh is a Private University .,Ph.D. granting No .
Bangladesh Army University of Engineering & Technology,Bangladesh Army University of Engineering & Technology .,The Acronym of Bangladesh Army University of Engineering & Technology is BAUET .,It's Established on 2015 .,And its Location is Natore .,Also division is Rajshahi Division .,This university offers a specialization in Engineering and Technology .,Bangladesh Army University of Engineering & Technology is a Private University .,Ph.D. granting No .
Tagore University of Creative Arts,Tagore University of Creative Arts .,The Acronym of Tagore University of Creative Arts is TUCA .,It's Established on 2016 .,And its Location is Dhaka .,Also division is Dhaka Division .,This university offers a specialization in Creative .,Tagore University of Creative Arts is a Private University .,Ph.D. granting No .
Islamic University of Technology,Islamic University of Technology .,The Acronym of Islamic University of Technology is IUT .,It's Established on 1978 .,And its Location is Gazipur .,Also division is Gazipur Division .,This university offers a specialization in Engineering and Technology (Muslim students only) .,Islamic University of Technology is a Private University .,Ph.D. granting Yes .
Asian University for Women,Asian University for Women .,The Acronym of Asian University for Women is AUW .,It's Established on 2008 .,And its Location is Chittagong .,Also division is Chittagong division .,This university offers a specialization in (Female students only) .,Asian University for Women is a Private University .,Ph.D. granting No .
